Messages,ID,Trigger Type,Trigger Event,Trigger,Time,If 1,If 2,Times Sent,MM Domain,MM Sub-Domain
"Your next <event name> visit at <provider> is <appointment date/time>. Reply ""1"" to reschedule or reply ""2"" to get directions to the clinic.",1,Event,Appointment Scheduled,"7 days before,1 day before",9am,"""To reschedule, call 212-562-1082""","""""""2"""" Bellevue is on 462 1st avenue and 28th st. Go to the 2nd floor in the main lobby and head to desk 2B""",2,Self-Management ,Appointment Reminders 
"Transit issues, work schedules, taking care of the family, and clinic lines can delay your visit. Get in early - get out easy! ",6,Scheduled,Appointment 1,1 day before,9am,,,1,Self-Management ,Appointment Adherence
Missing visits = missing refills and getting sick. Late visits = repeat visits in 1 week. Get in early and avoid all the hassle. ,7,Scheduled,Appointment 2,1 day before,9am,,,1,Self-Management ,Appointment Adherence
"You're doing great handling your recovery. Get in early, avoid late visits, avoid clinic lines",8,Scheduled,Appointment 3,1 day before,9am,,,1,Self-Management ,Appointment Adherence
"Lost your phone? Get a new number? Keep us updated of your new number so we can keep you updated with your care at Bellevue
",9,Scheduled,Appointment 4,1 day before,9am,,,1,Self-Management ,Appointment Adherence
"Need to reschedule ur suboxone clinic visit? Want to see us sooner? Reply ""1"" for our number. Fyi we're open Mon&Tues 9-12",10,Scheduled,Appointment 5,1 day before,9am,"""To reschedule, call 212-562-1082""",,1,Self-Management ,Appointment Adherence
"Transit issues, getting out of work or school, and lines at the clinic can delay your visit. Plan early, get in early, and get out easy! Reply ""1"" to reschedule your appointment.",11,Scheduled,Appointment 6,1 day before,9am,"""To reschedule, call 212-562-1082""",,1,Self-Management ,Appointment Adherence
"Uninsured? You may qualify for  free meds and clinic visits at Bellevue. Reply ""1"" to enroll with Metroplus and get more information. ",12,Scheduled,Appointment 1,day of,,Call METROPLUS 1-800-442-2560 or head to the MetroPlus table in Bellevue's main lobby to get signed up,,1,Self-Management ,Administrative healthcare utilization 
Make sure you pick up your red card from the Bellevue Business Office located in the main lobby. Can't get care at Bellevue without it,13,Scheduled,Enrollment,day of,,,,1,Self-Management ,Administrative healthcare utilization 
"Standing around in the waiting area? Reply ""1"" to get to our clinic couselor number and get tips and advice about your recovery. ",14,Scheduled,"Appointment 2,Appointment 4",day of,9am,"""Call 917-239-3850 to speak with Jesus, our clinic counselor""",,1,Self-Management ,Administrative healthcare utilization 
