Messages	Trigger Type	Trigger Event	Trigger	Frequency of delivery	If 1	If 2	Other Notes	Times Sent	MM Domain	MM Sub-Domain
"Your next visit at Bellevue's primary care clinic is Tuesday 11/11/17 09:00am. Reply ""1"" to reschedule or reply ""2"" to get directions to the clinic."	Event	Next Appointment Scheduled	"7 days before,1 day before"	"7 days before and, 1 day before appointment"	"""To reschedule, call 212-562-1082"""	"""""""2"""" Bellevue is on 462 1st avenue and 28th st. Go to the 2nd floor in the main lobby and head to desk 2B"""	[dashboard will need to have date entry boxes for upcoming appts]	2	Self-Management 	Appointment Reminders 
"Your next HIV clinic visit at Bellevue is Tuesday 11/11/17 at 09:00am. Reply ""1"" to reschedule or reply ""2"" to get directions to the clinic "	Event	Next Appointment Scheduled	"7 days before,1 day before"	"7, 1 day pre-appt at 9am"	To reschedule call 212-562-1634	"""""""2"""" Bellevue is on 462 1st avenue and 28th st. Go to the XX building's XX floor and head to XX."""	[dashboard will need to have date entry boxes for upcoming appts]	2	Self-Management 	Appointment Reminders 
"Your next Hepatology clinic visit at Bellevue is Tuesday 11/11/17 at 09:00am. Reply ""1"" to reschedule or reply ""2"" to get directions to the clinic "	Event	Next Appointment Scheduled	"7 days before,1 day before"	"7, 1 day pre-appt at 9am"	To reschedule call 212-562-1341	"""""""2"""" Bellevue is on 462 1st avenue and 28th st. Go to the XX building's XX floor and head to XX."""	[dashboard will need to have date entry boxes for upcoming appts]	2	Self-Management 	Appointment Reminders 
"Your scheduled Psychiatry visit at Bellevue is Tuesday 11/11/17 09:00am. Reply ""1"" to reschedule or reply ""2"" to get directions to the clinic "	Event	Next Appointment Scheduled	"7 days before,1 day before"	"7, 1 day pre-appt at 9am"	To reschedule call 212-562-5710	"""""""2"""" Bellevue is on 462 1st avenue and 28th st. Go to the XX building's XX floor and head to XX."""	[dashboard will need to have date entry boxes for upcoming appts]	2	Self-Management 	Appointment Reminders 
"Your CDOP outpatient counseling visit at Bellevue is Tuesday 11/11/17 09:00am. Reply ""1"" to reschedule or reply ""2"" to get directions to the clinic "	Event	Next Appointment Scheduled	"7 days before,1 day before"	"7, 1 day pre-appt at 9am"	To reschedule call 212-562-4487	"""""""2"""" Bellevue is on 462 1st avenue and 28th st. Go to the XX building's XX floor and head to XX."""	[dashboard will need to have date entry boxes for upcoming appts]	2	Self-Management 	Appointment Reminders 
"Transit issues, work schedules, taking care of the family, and clinic lines can delay your visit. Get in early - get out easy! "	Scheduled	Visit 1	1 day before	sent once 1 day pre-appt at 9am for 1st visit 				1	Self-Management 	Appointment Adherence
Missing visits = missing refills and getting sick. Late visits = repeat visits in 1 week. Get in early and avoid all the hassle. 	Scheduled	Visit 2	1 day before	sent once 1 day pre-appt at 9am for 2nd visit 				1	Self-Management 	Appointment Adherence
"You're doing great handling your recovery. Get in early, avoid late visits, avoid clinic lines"	Scheduled	Visit 3	1 day before	sent once 1 day pre-appt at 9am for 3rd visit 				1	Self-Management 	Appointment Adherence
"Lost your phone? Get a new number? Keep us updated of your new number so we can keep you updated with your care at Bellevue
"	Scheduled	Visit 4	1 day before	sent once 1 day pre-appt at 9am for 4th visit 				1	Self-Management 	Appointment Adherence
"Need to reschedule ur suboxone clinic visit? Want to see us sooner? Reply ""1"" for our number. Fyi we're open Mon&Tues 9-12"	Scheduled	Visit 5	1 day before	sent once 1 day pre-appt at 9am for 5th visit	"""To reschedule, call 212-562-1082"""			1	Self-Management 	Appointment Adherence
