Messages,ID,Trigger Type,Trigger Event,Trigger,Time,If 1,If 2,Times Sent,MM Domain,MM Sub-Domain
"Your next <event name> visit at <provider> is <appointment date/time>. Reply ""1"" to reschedule or reply ""2"" to get directions to the clinic.",1,Appointment,Appointment 49,"7 days before,1 day before",9am,"""To reschedule, call 212-562-1082""","""""""2"""" Bellevue is on 462 1st avenue and 28th st. Go to the 2nd floor in the main lobby and head to desk 2B""",2,Self-Management ,Appointment Reminders 
"Transit issues, work schedules, taking care of the family, and clinic lines can delay your visit. Get in early - get out easy! ",6,Appointment,Appointment 1,1 day before,9am,,,1,Self-Management ,Appointment Adherence
Missing visits = missing refills and getting sick. Late visits = repeat visits in 1 week. Get in early and avoid all the hassle. ,7,Appointment,Appointment 2,1 day before,9am,,,1,Self-Management ,Appointment Adherence
"You're doing great handling your recovery. Get in early, avoid late visits, avoid clinic lines",8,Appointment,Appointment 3,1 day before,9am,,,1,Self-Management ,Appointment Adherence
"Lost your phone? Get a new number? Keep us updated of your new number so we can keep you updated with your care at Bellevue
",9,Appointment,Appointment 4,1 day before,9am,,,1,Self-Management ,Appointment Adherence
"Need to reschedule ur suboxone clinic visit? Want to see us sooner? Reply ""1"" for our number. Fyi we're open Mon&Tues 9-12",10,Appointment,Appointment 5,1 day before,9am,"""To reschedule, call 212-562-1082""",,1,Self-Management ,Appointment Adherence
"Transit issues, getting out of work or school, and lines at the clinic can delay your visit. Plan early, get in early, and get out easy! Reply ""1"" to reschedule your appointment.",11,Appointment,Appointment 6,1 day before,9am,"""To reschedule, call 212-562-1082""",,1,Self-Management ,Appointment Adherence
"Standing around in the waiting area? Reply ""1"" to get to our clinic couselor number and get tips and advice about your recovery. ",14,Appointment,"Appointment 2,Appointment 4",day of,9am,"""Call 917-239-3850 to speak with Jesus, our clinic counselor""",,1,Self-Management ,Administrative healthcare utilization 
"Depression, anxiety, or stress getting too much? Hit ""1"" for our Psychiatry clinic number or ""2"" for our outpatient counseling program. Its free!",15,Appointment,"Appointment 3,Appointment 5",day of,9am,"""Call 212-562-8856 or walk-in anytime to C-building, 2nd floor for an initial visit""","""Call 212-562-4487 or walk-in anytime to XX building, XX floor for an initial visit""",1,Self-Management ,Administrative healthcare utilization 
There's always ups&downs but hang in there! Stopping your sbx and relapsing on just a small amount can put you at risk of an OD. Stay solid!,17,Enrollment,Day 3,day of,9am,,,1,Self-Management ,Overdose Prevention
"Be healthy and don't risk an OD. Avoid up'ing ur sbx dose on top of alcohol or benzo's (Xanax, klonopin). Talk to your doc first.",20,Enrollment,Day 10,day of,9am,,,1,Self-Management ,Overdose Prevention
"Don't let an OD take another life! Stick with ur narcan kit, get trained, and save a life. Reply ""1"" to get more info ",22,Enrollment,Day 1,day of,12pm,"""Pull off the yellow&red caps->attach the nasal piece and naloxone in the barrel->tilt head back->pray half in one nostril->if no response in 2 minutes, spray half in other nostril. Call 911!""",,1,Self-Management ,Overdose Prevention
Get a free narcan kit from ur doctor! It saves lives! Click https://youtu.be/-t8ezZR4Xjk for a quick video on giving narcan (data usage charges may apply),23,Appointment,"Appointment 7,Appointment 2",day of,9am,,,1,Self-Management ,Overdose Prevention
Good morning! You made it to day 2! Now take the total amount you took yesterday. We'll check back in a few hours and see how you're feeling. ,31,Enrollment,Day 3,day of,9am,,,,Self-Management ,Bup dosing guide - day 2
"On to the day 4! Avoid adjusting your dose and take the amount you took yesterday. Reply ""1"" if ur feeling sick or need help from ur suboxone doc",37,Enrollment,Day 4,day of,9am,We're here for you! Send a text to 917-XXX-XXXX and your suboxone doctor will get back to you Mon-Fri between 9-5pm.,,,Self-Management ,Bup dosing guide - day 4
"Avoid certain people, places, things that make u use. And take a minute and reflect on positive people, places, things that can get u through this!",50,Enrollment,Day 5,day of,6pm,,,,Self-Management ,CBT
"Don't want to get locked up, lose your money, and go through withdrawals again. Stick with the treatment, it works! ",51,Enrollment,Day 6,day of,2pm,,,,Self-Management ,supportive
"Ask yourself ""When I have urges, cravings, or a physical needs, what 3 easy actvities will help me stay clean?"" ",54,Enrollment,Day 7,day of,6pm,,,,Self-Management ,CBT
"Ask yourself ""When I have urges, cravings, or a physical needs, what 3 people help motivate me to stay clean?""",55,Enrollment,Day 8,day of,2pm,,,,Self-Management ,CBT
"What else helps you get through the day? Exercise, calling a friend, dancing, music? Switch ur routines and enjoy your sobriety! ",57,Enrollment,Day 9,day of,2pm,,,,Self-Management ,CBT
"Don't get bored and risk use. Get out of the house, find a meeting, meet sober friends, exercise, anything to get your mind off of it. ",59,Enrollment,Day 10,day of,2pm,,,,Self-Management ,CBT
"Take a minute and reflect: ""By staying sober, I hope to experience and enjoy these two things..?""",61,Enrollment,Day 11,day of,2pm,,,,Self-Management ,CBT
"Reflect on what it takes to stay clean. ""When I see people around me using, what 2 easy things can I do to get my mind off it?""  ",63,Enrollment,Day 12,day of,2pm,,,,Self-Management ,CBT
"You don't have to use today. Hold on, someone cares. Call a friend, go to a meeting, link with our clinic counselors. ",66,Enrollment,Day 13,day of,6pm,,,,Self-Management ,supportive
There's help out there; Be around people that are supportive. ,67,Enrollment,Day 14,day of,2pm,,,,Self-Management ,supportive
"Stay busy. Go to group meetings, do activities or exercises that make you feel better, ",69,Enrollment,Day 15,day of,2pm,,,,Self-Management ,supportive
Stay strong - Stay focused - Never give up - Hang in there!,71,Enrollment,Day 16,day of,2pm,,,,Self-Management ,supportive
"This is your doctor, hope you're doing well and see you soon. ",73,Enrollment,Day 17,day of,2pm,,,,Self-Management ,supportive
"You put a lot of time to get here, don't forget what you've been through. ",75,Enrollment,Day 18,day of,2pm,,,,Self-Management ,supportive
"There's help out there. Be around people, meetings, and counselors that are supporting your recovery. ",77,Enrollment,Day 19,day of,2pm,,,,Self-Management ,supportive
You're doing great; Keep up the good work; Send congratulatory messages. ,80,Enrollment,Day 20,day of,6pm,,,,Self-Management ,supportive
You know you're important to us. We're here to support you. ,82,Enrollment,Day 21,day of,6pm,,,,Self-Management ,supportive
Be around positive people. Find someone you can talk to. ,83,Enrollment,Day 22,day of,2pm,,,,Self-Management ,supportive
"It get's better, no more being sick. ",84,Enrollment,Day 23,day of,2pm,,,,Self-Management ,supportive
"Don't change your routine, Stick to it. ",85,Enrollment,Day 24,day of,2pm,,,,Self-Management ,supportive
"You're not cured yet. If you feel like relapsing, reach out for help. ",86,Enrollment,Day 25,day of,2pm,,,,Self-Management ,supportive
"Taking extra sbx won't help ur anxiety or stress - get real help! Talk to your doc or reply ""1"" to get a visit with our walk-in Psychiatry clinic ",87,Enrollment,Day 26,day of,12pm,"""Call 212-562-8856 or walk-in anytime to C-building, 2nd floor for an initial visit""",,,Self-Management ,Buprenorphine Dosing Information
Suboxone helps you stay clean! Click on this 2 min video URL•À?.LINK to get more info on how it works and possible side effects (Data usage costs may apply),88,Enrollment,Day 27,day of,12pm,,,,Self-Management ,Buprenorphine Dosing Information
"Don't exceed your daily dosage, be mindful of when the desire to exceed your dosage occurs. ",89,Enrollment,Day 28,day after,12pm,,,,Self-Management ,Buprenorphine Dosing Information
"Keep a schedule, take your meds on time. Don't take it when you feel like it. ",90,Enrollment,Day 29,day of,12pm,,,,Self-Management ,Buprenorphine Dosing Information
"Stick with the meds! Sbx is safe with most anti-retrovirals. Talk to your doc to get more info.
",91,Enrollment,Day 30,day of,12pm,,,,Self-Management  (HIV/HCV),HIV/HCV General Information 
"Know your viral load, CD4, Genotype? Get tested, get your results.
",92,Enrollment,Day 31,day of,12pm,,,,Self-Management  (HIV/HCV),HIV/HCV General Information 
"Need more help? Bellevue can help you with depression, HIV, Hep C services. Ask your doc to get started on treatment",93,Enrollment,Day 32,day of,12pm,,,,Self-Management  (HIV/HCV),HIV/HCV General Information 
"Text the Dept of Health @ 877-877 and type ""testnyc"" for free HIV testing or ""care"" for HIV treatment options.",94,Enrollment,Day 33,day of,12pm,,,,Self-Management  (HIV/HCV),HIV/HCV General Information 
"Get cured, stay on your antiretrovirals. Take them at the same time each day, use a calendar, pill tray, phone alarm, or ask friends/family to remind you. ",95,Enrollment,Day 34,day of,12pm,,,,Self-Management  (HIV/HCV),HIV/HCV Adherence 
"Can be tough remembering to take your meds every day. Talk to your doc if you're feeling side effects, sick or depressed, or losing motivation in ur tx. ",96,Enrollment,Day 35,day of,12pm,,,,Self-Management  (HIV/HCV),HIV/HCV Adherence 
"Feel good and get treated! Sticking with ur meds helps. If you forget them, tell your doc asap.  ",97,Enrollment,Day 36,day of,12pm,,,,Self-Management  (HIV/HCV),HIV/HCV Adherence 
"Sticking with meds and appts can be hard for some. Get help from ur family and friends. Reply ""1"" to link with other people in tx supporting each other through this.",98,Enrollment,Day 37,day of,12pm,,,,Self-Management  (HIV/HCV),HIV/HCV Adherence 
